year,county,BMW,CHEVROLET,FORD,KIA,NISSAN,TESLA,TOYOTA
2011,Clark,0,4,0,0,40,0,0
2011,King,0,24,0,0,282,3,0
2011,Kitsap,0,4,0,0,25,0,0
2011,Pierce,0,3,0,0,57,0,0
2011,Snohomish,0,8,0,0,66,1,0
2011,Spokane,0,8,0,0,27,0,0
2011,Thurston,0,5,0,0,32,0,0
2012,Clark,0,35,2,0,50,7,33
2012,King,0,121,5,0,194,65,152
2012,Kitsap,0,17,1,0,38,1,19
2012,Pierce,0,49,0,0,33,12,23
2012,Snohomish,0,47,2,0,62,17,32
2012,Spokane,0,21,0,0,18,6,15
2012,Thurston,0,30,0,0,18,4,17
2013,Clark,0,49,37,0,148,36,19
2013,King,0,251,217,0,799,370,133
2013,Kitsap,0,28,25,0,82,29,8
2013,Pierce,0,100,59,0,113,61,21
2013,Snohomish,0,78,69,0,230,83,34
2013,Spokane,0,30,36,0,50,10,7
2013,Thurston,0,50,24,0,85,22,10
2014,Clark,19,49,40,0,30,32,18
2014,King,225,243,196,0,300,339,97
2014,Kitsap,22,30,26,0,29,20,10
2014,Pierce,44,72,78,0,42,59,16
2014,Snohomish,47,93,64,0,80,69,21
2014,Spokane,8,35,25,0,16,14,8
2014,Thurston,12,42,35,0,28,9,9
2015,Clark,30,33,39,3,88,60,9
2015,King,221,136,194,7,870,516,51
2015,Kitsap,11,20,22,1,81,29,2
2015,Pierce,33,42,71,2,117,82,4
2015,Snohomish,37,50,64,3,213,123,7
2015,Spokane,7,39,14,0,43,31,5
2015,Thurston,9,33,23,2,79,33,3
2016,Clark,23,31,26,15,65,101,0
2016,King,202,103,287,185,579,850,0
2016,Kitsap,11,14,39,20,52,50,0
2016,Pierce,39,25,88,33,74,134,0
2016,Snohomish,30,32,85,42,102,172,0
2016,Spokane,13,17,30,11,31,36,0
2016,Thurston,15,26,44,14,31,55,0
2017,Clark,45,203,62,9,58,104,85
2017,King,351,1073,221,84,477,918,342
2017,Kitsap,40,117,24,5,39,44,29
2017,Pierce,64,248,76,20,61,120,102
2017,Snohomish,44,265,73,28,100,175,85
2017,Spokane,24,89,30,5,17,59,23
2017,Thurston,20,250,35,11,21,59,44
2018,Clark,45,77,12,19,62,408,45
2018,King,375,486,77,141,654,4579,277
2018,Kitsap,33,54,7,8,41,225,33
2018,Pierce,56,106,20,25,86,508,57
2018,Snohomish,64,118,22,34,129,915,58
2018,Spokane,31,43,6,3,24,154,15
2018,Thurston,18,95,7,23,49,202,34
2019,Clark,17,65,13,29,70,266,24
2019,King,202,513,50,335,651,2536,68
2019,Kitsap,15,50,5,40,67,105,10
2019,Pierce,24,81,22,40,109,362,8
2019,Snohomish,17,92,12,70,163,559,16
2019,Spokane,9,22,6,7,24,114,11
2019,Thurston,7,84,9,44,52,133,32
2020,Clark,13,99,6,30,52,381,44
2020,King,128,625,26,254,329,3861,139
2020,Kitsap,6,60,5,27,33,205,11
2020,Pierce,17,119,9,42,63,587,28
2020,Snohomish,11,145,5,62,78,869,33
2020,Spokane,4,40,3,8,12,179,7
2020,Thurston,5,78,6,35,34,188,33
2021,Clark,28,29,65,7,41,631,131
2021,King,425,184,370,44,364,6255,425
2021,Kitsap,30,23,51,3,26,323,52
2021,Pierce,43,43,101,3,56,848,80
2021,Snohomish,64,38,119,5,85,1459,99
2021,Spokane,18,9,26,1,6,249,42
2021,Thurston,13,28,37,2,29,308,48
2022,Clark,46,54,136,149,48,730,117
2022,King,603,417,679,818,553,7916,200
2022,Kitsap,20,58,74,90,44,299,18
2022,Pierce,50,81,163,188,58,935,50
2022,Snohomish,96,127,227,224,137,1867,57
2022,Spokane,31,33,59,87,21,340,13
2022,Thurston,18,62,126,106,56,312,27
2023,Clark,83,169,214,185,86,1580,187
2023,King,1049,1618,1452,1408,669,16004,424
2023,Kitsap,46,128,116,128,76,607,33
2023,Pierce,128,209,388,389,189,2122,76
2023,Snohomish,199,256,453,303,189,4626,108
2023,Spokane,38,64,134,116,27,541,32
2023,Thurston,18,185,361,163,63,749,30
