make,count
TESLA,84670
CHEVROLET,14321
NISSAN,14239
FORD,10048
KIA,8671
BMW,7993
TOYOTA,7181
VOLKSWAGEN,5408
JEEP,4996
HYUNDAI,4977
RIVIAN,4751
VOLVO,4469
AUDI,3890
CHRYSLER,3393
MERCEDES-BENZ,1784
PORSCHE,1182
MITSUBISHI,996
MINI,984
SUBARU,970
POLESTAR,939
HONDA,857
FIAT,781
DODGE,619
MAZDA,581
LEXUS,567
CADILLAC,552
LINCOLN,281
LUCID,263
SMART,259
JAGUAR,234
GENESIS,219
FISKER,181
LAND ROVER,60
ALFA ROMEO,56
GMC,11
AZURE DYNAMICS,8
TH!NK,5
WHEEGO ELECTRIC CARS,3
BENTLEY,3
ROLLS ROYCE,2
RAM,2
ACURA,1
